,city,iata,infected,recovered,per100t,lat,lon
0,Абакан,ABA,12063,12063,2258.2,53.5,90.0
1,Анадырь,DYR,389,389,766.9,66.2527806,172.001
2,Архангельск,ARH,31230,31230,2859.2,63.5,43.0
3,Астрахань,ASF,13715,13715,1363.4,47.23333,47.23333
4,Барнаул,BAX,26129,26129,1127.7,52.76667,82.61667
5,Белгород,EGO,16207,16207,1047.3,50.76667,37.45
6,Благовещенск,BQS,11380,11380,1439.3,53.55,127.83333
7,Брянск,BZK,17287,17287,1449.6,52.95,33.4
8,Владивосток,VVO,21916,21916,1156.3,45.33333,134.66667
9,Владикавказ,OGZ,9366,9366,1343.6,43.18333,44.23333
10,Волгоград,VOG,27165,27165,1090.2,49.73333,44.11667
11,Вологда,VGD,12176,12176,1049.0,60.08333,40.45
12,Воронеж,VOZ,34435,34435,1481.9,51.05,40.15
13,Горно-Алтайск,RGK,11278,11278,5123.1,50.91667,86.91667
14,Грозный,GRV,4374,4374,296.2,43.4,45.71667
15,Екатеринбург,SVX,46326,46326,1074.6,58.7,61.33333
16,Иваново,IWA,15823,15823,1586.7,57.01667,41.51667
17,Ижевск,IJK,13368,13368,890.6,57.28333,52.75
18,Иркутск,IKT,32088,32088,1342.1,57.36667,106.0
19,Йошкар-Ола,JOK,7576,7576,1115.6,56.7,47.86667
20,Казань,KZN,10339,10339,264.9,55.55,50.93333
21,Калининград,KGD,11466,11466,1132.7,54.8,21.41667
22,Калуга,KLF,15988,15988,1598.7,54.43333,35.43333
23,Кемерово,KEJ,20775,20775,781.7,54.93333,87.23333
24,Киров,KVX,18059,18059,1430.4,58.76667,49.83333
25,Кострома,KMW,11397,11397,1799.4,58.55,43.68333
26,Краснодар,KRR,22089,22089,389.0,45.36667,39.43333
27,Красноярск,KJA,36232,36232,1263.4,59.88333,91.66667
28,Курган,KRO,8696,8696,1051.6,55.56667,64.75
29,Курск,URS,15280,15280,1385.2,51.75,36.01667
30,Кызыл,KYZ,12407,12407,3789.7,51.78333,94.75
31,Липецк,LPK,11242,11242,986.6,52.7,39.15
32,Магадан,GDX,5684,5684,4054.2,62.9,153.7
33,Магас,IGT,9471,9471,1869.2,43.16667,44.81667
34,Махачкала,MCX,18987,18987,610.2,43.1,46.88333
35,Москва,VKO,605724,605724,4772.3,55.5735,37.5
36,Мурманск,MMK,27419,27419,3697.7,68.03333,34.56667
37,Нальчик,NAL,12713,12713,1464.3,43.58333,43.4
38,Нарьян-Мар,NNM,655,655,1484.9,68.83333,54.83333
39,Нижний Новгород,GOJ,54485,54485,1700.6,56.48333,44.53333
40,Новосибирск,OVB,22687,22687,810.8,55.45,79.55
41,Омск,OMS,22563,22563,1171.2,56.21667,73.26667
42,Оренбург,REN,23179,23179,1184.9,52.13333,55.6
43,Пенза,PEZ,20221,20221,1549.7,53.25,44.56667
44,Пермь,PEE,20682,20682,795.7,59.23333,56.13333
45,Петрозаводск,PES,15113,15113,2458.9,63.81667,33.0
46,Псков,PKV,12312,12312,1966.6,57.31667,29.25
47,Салехард,SLY,26343,26343,4842.4,67.25,74.66667
48,Самара,KUF,22355,22355,703.2,53.45,50.45
49,Санкт-Петербург,LED,125907,125907,2334.6,59.921977,30.3449437
50,Саранск,SKX,10749,10749,1359.2,54.43333,44.45
51,Симферополь,SIP,15372,15372,804.0,44.94806,34.10417
52,Ставрополь,STW,27714,27714,988.7,45.05,43.26667
53,Сыктывкар,SCW,21331,21331,2600.8,64.28333,54.46667
54,Тамбов,TBW,13206,13206,1311.5,52.71667,41.56667
55,Томск,TOF,18443,18443,1709.2,58.75,82.13333
56,Тюмень,TJM,18266,18266,1187.9,57.83333,69.0
57,Улан-Удэ,UUD,18902,18902,1916.8,53.8,109.33333
58,Ульяновск,ULV,27601,27601,2244.6,53.95,47.91667
59,Уфа,UFA,14264,14264,353.3,54.46667,56.26667
60,Хабаровск,KHV,24570,24570,1868.0,54.8,136.83333
61,Ханты-Мансийск,HMA,34342,34342,2051.4,62.25,70.16667
62,Чебоксары,CSY,12563,12563,1031.6,55.4594389,47.0961111
63,Челябинск,CEK,25249,25249,728.3,54.53333,60.33333
64,Чита,HTA,19238,19238,1815.5,54.0,118.0
65,Элиста,ESL,11658,11658,4301.3,46.56667,45.31667
66,Южно-Сахалинск,UUS,11327,11327,2319.0,50.55,142.6
67,Якутск,YKS,20054,20054,2067.2,66.4,129.16667
